SAMPLE,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,S,CL,H2O,CO2,FO,FE3FET,FEOTI,VBVOLP,DMI,DHOST,CR,SIO2err,TIO2err,AL2O3err,FEOTerr,MNOerr,MGOerr,CAOerr,NA2Oerr,K2Oerr,P2O5err,Serr,CLerr,H2Oerr,CO2err,FOerr,FE3FETerr,FEOTIerr,VBVOLPerr,DMIerr,DHOSTerr,CRerr
134D-R-6,55.85936653,1.24261871,17.54295105,8.506348691,0.181098232,2.403563828,7.641338293,4.310513006,0.961421575,0.382877347,1375.606301,1255.556374,3.352570093,343.9899992,73.36578315,0.2,,,38,590,,2.792968327,0.062130936,0.877147553,0.425317435,0.009054912,0.120178191,0.382066915,0.21552565,0.048071079,0.019143867,68.78031505,62.7778187,0.167628505,17.19949996,2,0.01,,,3.8,59,
134D-R-7,54.15529675,0.999613002,17.38565612,9.773066772,0.182121386,3.343527193,7.424665184,3.89851535,0.8715118,0.319487058,2024.590188,1352.069657,3.575595073,193.2300977,72.74217714,0.2,,,61,495,,2.707764838,0.04998065,0.869282806,0.488653339,0.009106069,0.16717636,0.371233259,0.194925768,0.04357559,0.015974353,101.2295094,67.60348285,0.178779754,9.661504885,2,0.01,,,6.1,49.5,
137B-R-1,48.90721134,1.015530406,18.54354975,9.453671304,0.22201232,4.775331855,9.530521443,2.917901074,0.55887099,0.237079682,2575.365687,207.467478,4.399549475,592.7571858,78.23610521,0.2,,,96,939,,2.445360567,0.05077652,0.927177488,0.472683565,0.011050062,0.238766593,0.476526072,0.145895054,0.02794355,0.011853984,128.7682844,50.3733739,0.219977474,29.63785929,2,0.01,,,9.6,93.9,
137B-R-2,54.43420025,1.272331199,16.96451164,9.194026689,0.167797232,3.068294791,7.339027717,4.323481455,0.979812211,0.314415835,1358.06391,1257.234815,3.588878252,218.5531428,72.98119079,0.2,,,72,709,,2.72172013,0.06361656,0.848225582,0.459701334,0.008389862,0.15341474,0.366951386,0.216174073,0.048990611,0.015720792,67.9031955,62.86174075,0.179443913,10.92765714,2,0.01,,,7.2,70.9,
137B-R-3,48.68041068,1.087689307,18.78811799,9.539495256,0.137102616,4.394775862,9.859658213,3.253085608,0.575218222,0.163546946,2959.60026,1026.695406,4.273868929,558.1469741,76.42184569,0.2,,,124,543,,2.434020534,0.054384465,0.9394059,0.476974763,0.006855131,0.219738793,0.492982911,0.16265428,0.028760911,0.008177347,147.980013,51.3347703,0.213693446,27.90734871,2,0.01,,,12.4,54.3,
137B-R-4,58.23975177,1.052671017,17.63123917,7.64485003,0.131986847,1.938550239,7.20687298,4.010243528,1.135110914,0.423447132,1105.533237,1456.791283,3.241705709,255.6039614,72.90345821,0.2,,,44,506,,2.911987589,0.052633551,0.881561959,0.382242502,0.006599342,0.096927512,0.355034365,0.200512176,0.056755546,0.021172357,55.27666185,72.83956415,0.162085285,12.78019807,2,0.01,,,4.4,50.6,
137B-R-5,57.49703071,1.061160299,17.13702866,8.067451517,0.143241539,2.568504545,7.049098463,4.089051796,1.157588358,0.375270512,958.2085712,1390.424687,3.363337093,283.3746026,73.2981319,0.2,,,45,421,,2.874851536,0.053058015,0.856851433,0.403372576,0.007162077,0.128425227,0.352454923,0.20445259,0.057879418,0.018763526,47.91042856,69.52123435,0.168166855,14.16873013,2,0.01,,,4.5,42.1,
fuego 11.1,49.85166667,0.749,17.75266667,10.041,0.222,3.800666667,9.072333333,2.992333333,0.563333333,0.342556763,2498.301559,1230.081438,4.311935292,513.9712932,73.33,0.2,,2.856515285,95,591,1.53,2.492583334,0.03745,0.887633334,0.50205,0.0111,0.190033333,0.453616667,0.149616667,0.028166667,0.017127838,124.915078,61.5040719,0.215596765,25.69856466,2,0.01,,0.571303057,9.5,59.1,0.31
fuego 12.3,49.10866667,1.088666667,19.24,8.607333333,0.138333333,3.802,9.641333333,3.260666667,0.626333333,0.343232876,2646.426346,1308.356592,4.723537168,697.1071017,75.81,0.2,,2.896988768,122,591,1.53,2.455433334,0.054433333,0.962,0.430366667,0.006916667,0.1901,0.482066667,0.163033333,0.031316667,0.017161644,132.3213173,65.4178296,0.236176858,34.85535509,2,0.01,,0.579397754,12.2,59.1,0.31
fuego 15.1,52.45666667,1.081666667,15.899,9.559333333,0.200333333,3.933,7.836333333,3.363666667,0.776333333,0.405815564,1611.073759,1245.205047,3.994882584,266.6682745,73.18,0.2,,1.823197879,141,591,1.53,2.622833334,0.054083333,0.79495,0.477966667,0.02016667,0.19665,0.391816667,0.168183333,0.038816667,0.020290778,80.55368795,62.26025235,0.199744129,13.33341373,2,0.01,,0.364639576,14.1,59.1,0.31
fuego 19.1,50.094,0.729,17.767,10.189,0.191,3.954,8.73,2.807,0.583,0.350353188,2490.436385,1273.414285,4.167016756,494.5278385,73.76,0.2,,2.935841245,58,591,1.53,2.5047,0.03645,0.88835,0.50945,0.00955,0.1977,0.4365,0.14035,0.02915,0.017517659,124.5218193,63.67071425,0.208350838,24.72639193,2,0.01,,0.587168249,5.8,59.1,0.31
fuego 5.3,51.942,0.925,16.963,9.935,0.2105,3.622,7.3955,3.86,0.819,0.447628914,2109.068504,1545.742427,4.055819936,189.6493759,73.39,0.2,,2.235517132,52,591,1.53,2.5971,0.04625,0.84815,0.49675,0.010525,0.1811,0.369775,0.193,0.04095,0.022381446,105.4534252,77.28712135,0.202790997,9.482468795,2,0.01,,0.447103426,5.2,59.1,0.31
fuego 9.2,50.715,0.698,17.187,11.305,0.164,4.36,8.218,3.167,0.547,0.351367357,2469.239235,1215.061019,4.3940218,504.1523185,73.13,0.2,,2.342093193,90,591,1.53,2.53575,0.0349,0.85935,0.56525,0.0082,0.218,0.4109,0.15835,0.02735,0.017568368,123.4619618,60.75305095,0.21970109,25.20761593,2,0.01,,0.468418639,9,59.1,0.31
VF-127-9,50.52441353,1.227775446,16.10447643,11.38039536,0.185197943,4.374033496,7.802180985,3.428328928,0.7719032,0.186433173,,,4,,73.06781702,0.2,,,0,0,1.53,2.526220677,0.061388772,0.805223822,0.569019768,0.009259897,0.218701675,0.390109049,0.171416446,0.03859516,0.009321659,0,0,0,0,2,0.01,,,0,0,0.31
VF-131-4,54.8429976,0.981065083,16.97985027,9.061969099,0.160089739,3.641788213,6.923925924,4.043727158,0.991766162,0.295169851,,,4,,73.10726569,0.2,,,0,0,1.53,2.74214988,0.049053254,0.848992514,0.453098455,0.008004487,0.182089411,0.346196296,0.202186358,0.049588308,0.014758493,0,0,0,0,2,0.01,,,0,0,0.31
FuegoNL-2,50.84883041,1.09314869,16.46409903,9.739562105,0.196851758,3.837343864,7.283067838,3.474558333,0.652362892,0.209424242,,,4,,72.65178456,0.2,,,0,0,1.53,2.542441521,0.054657435,0.823204952,0.486978105,0.009842588,0.191867193,0.364153392,0.173727917,0.032618145,0.010471212,0,0,0,0,2,0.01,,,0,0,0.31
FuegoNL-3A,53.06880047,1.233852903,17.71516491,9.847075528,0.23651154,3.522342766,8.168178534,3.790904067,0.479778756,0.205315744,,,4,,73.1882104,0.2,,,0,0,1.53,2.653440024,0.061692645,0.885758246,0.492353776,0.011825577,0.176117138,0.408408927,0.189545203,0.023988938,0.010265787,0,0,0,0,2,0.01,,,0,0,0.31
FuegoNL-3B,51.67505391,1.132868981,17.0379965,10.18569498,0.170316614,3.767658693,7.732938096,3.592295182,0.632257078,0.220325844,,,4,,73.1882104,0.2,,,0,0,1.53,2.583752696,0.056643449,0.851899825,0.509284749,0.008515831,0.188382935,0.386646905,0.179614759,0.031612854,0.011016292,0,0,0,0,2,0.01,,,0,0,0.31
FuegoNL-4,53.4588349,0.798038723,16.20074688,10.69780821,0.219567982,3.990053332,6.529406932,3.846483973,0.661145486,0.278404737,,,4,,70.83872237,0.2,,,0,0,1.53,2.672941745,0.039901936,0.82037344,0.534890411,0.010978399,0.199502667,0.326470347,0.192324199,0.033057274,0.013920237,0,0,0,0,2,0.01,,,0,0,0.31
FuegoNL-5,51.07486772,0.850058626,16.75110938,9.787160556,0.163373762,3.692645591,7.51965615,3.50676865,0.517952895,0.217511295,,,4,,71.94961723,0.2,,,0,0,1.53,2.553743386,0.042502931,0.837555469,0.489358028,0.008168688,0.18463228,0.375982808,0.175338433,0.025897645,0.010875565,0,0,0,0,2,0.01,,,0,0,0.31
FuegoNL-6B,51.53775703,1.16047372,16.84346954,10.27291786,0.169790179,3.869957984,8.034226076,3.572730377,0.582909845,0.225517674,,,4,,73.45109944,0.2,,,0,0,1.53,2.576887852,0.058023686,0.842173477,0.513645893,0.008489509,0.193497899,0.401711304,0.178636519,0.029145492,0.011275884,0,0,0,0,2,0.01,,,0,0,0.31
FuegoNL-6C,52.14993708,1.26086682,17.27917865,10.10480976,0.168981,2.854599733,8.550596842,3.659966034,0.538380544,0.232742095,,,4,,73.27827321,0.2,,,0,0,1.53,2.607496854,0.063043341,0.863958933,0.505240488,0.00844905,0.142729987,0.427529842,0.182998302,0.026919027,0.011637105,0,0,0,0,2,0.01,,,0,0,0.31
